id;nome;email;is_gestor;criado_em;atualizado_em
1;Buckinghamshire transmitting;EnzoGabriel80@gmail.com;false;2023-07-04T00:23:24;2023-07-04T02:09:18
2;Aço;Vitor16@live.com;true;2023-07-04T13:51:08;2023-07-04T09:10:01
3;connecting system transmitting;Mariana.Nogueira49@hotmail.com;true;2023-07-03T21:36:29;2023-07-04T05:01:42
4;Aço;Jlio_Franco@hotmail.com;true;2023-07-04T15:25:00;2023-07-04T16:17:47
5;Central;Eduardo_Nogueira34@live.com;true;2023-07-04T18:41:35;2023-07-03T20:01:55
6;Marginal;Roberto67@bol.com.br;true;2023-07-04T10:14:29;2023-07-04T17:22:27
7;logistical withdrawal;Fabrcio.Silva20@yahoo.com;true;2023-07-04T01:08:16;2023-07-04T06:57:58
8;interactive;Rafael_Macedo@yahoo.com;true;2023-07-03T21:04:32;2023-07-04T14:39:36
9;Research;Gael64@gmail.com;true;2023-07-03T23:48:38;2023-07-04T11:51:57
10;Lustroso innovate auxiliary;Sulen52@bol.com.br;true;2023-07-03T23:01:21;2023-07-04T04:47:48
